method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
cluster_mode_mode_wlen,2818,0.9950564971751412,0.33286018452803406,0.6004258339247693,0.7391767210787793,146262.18630234207,4482523.098882595
cluster_median_mode_wlen,2818,0.9950564971751412,0.3325053229240596,0.6107168204400284,0.747693399574166,146262.02484031228,4482523.098879938
cluster_mode_median_wlen,2818,0.9950564971751412,0.3293115684882896,0.6107168204400284,0.7526614620298083,97525.69056068134,3660325.829183721
cluster_median_median_wlen,2818,0.9950564971751412,0.32824698367636623,0.6185237757274663,0.7633073101490419,97516.77004968062,3659996.4416376418
median,2822,0.9964689265536724,0.31998582565556344,0.615520907158044,0.7608079376328845,97345.89014883061,3656371.772704414
dedup_text_median,2822,0.9964689265536724,0.3196314670446492,0.615520907158044,0.7611622962437987,97345.89369241672,3656371.7727044476
mode,2822,0.9964689265536724,0.3192771084337349,0.6034727143869596,0.7377746279234585,48710.75301204819,2587207.9853602382
cluster_median_mode_wsize,2818,0.9950564971751412,0.31866572036905605,0.6057487579843861,0.7469836763662172,146200.4375443577,4480587.153416188
dedup_text_mode,2822,0.9964689265536724,0.31856839121190644,0.6034727143869596,0.7377746279234585,48710.75053153792,2587207.985360232
cluster_mode_mode_wsize,2818,0.9950564971751412,0.3158268275372605,0.592264017033357,0.7327892122072391,146231.88218594747,4481563.18288079
cluster_median_median_wsize,2818,0.9950564971751412,0.31511710432931156,0.6121362668559261,0.7540809084457062,97493.82434350603,3659130.7508710776
cluster_mode_median_wsize,2818,0.9950564971751412,0.31369765791341375,0.5997161107168204,0.741305890702626,97517.07771469127,3659996.441645876
cluster_median_mode,2818,0.9950564971751412,0.3129879347054649,0.5940383250532293,0.7370475514549326,97566.97515968772,3661821.323775346
cluster_mode_mode,2818,0.9950564971751412,0.31192334989354153,0.5919091554293825,0.7299503193754435,97612.90489709013,3663015.561981768
cluster_mode_median,2818,0.9950564971751412,0.3076650106458481,0.5958126330731015,0.7423704755145494,97551.61107168204,3170193.8447924037
cluster_median_median,2818,0.9950564971751412,0.3058907026259759,0.5979418026969482,0.7459190915542938,97535.62278211498,3169503.901571534
cluster_mean_mode,2818,0.9950564971751412,0.29240596167494676,0.5716820440028388,0.71611071682044,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_median,2818,0.9950564971751412,0.28282469836763663,0.5809084457061746,0.7324343506032647,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_mode_wlen,2818,0.9950564971751412,0.27963094393186655,0.5645848119233499,0.705110007097232,1.1887863733144074e+63,6.310653175863228e+64
cluster_mode_mean_wlen,2818,0.9950564971751412,0.27288857345635203,0.5514549325762953,0.7008516678495387,2.5574800322718183e+26,8.350667383207792e+27
cluster_mean_median_wlen,2818,0.9950564971751412,0.2704045422285309,0.5777146912704045,0.7228530872959545,1.1887863733144074e+63,6.310653175863228e+64
cluster_median_mean_wlen,2818,0.9950564971751412,0.26792051100070974,0.5613910574875799,0.7072391767210788,2.5574800322718183e+26,8.350667383207792e+27
cluster_mean_mode_wsize,2818,0.9950564971751412,0.2650816181689141,0.5621007806955287,0.7068843151171044,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_median_wsize,2818,0.9950564971751412,0.2636621717530163,0.5734563520227112,0.7157558552164656,1.1887863733144074e+63,6.310653175863228e+64
trimmed_mean_10,2822,0.9964689265536724,0.26222537207654145,0.5637845499645642,0.7200566973777462,1.3394595149295612e+26,5.074466559023324e+27
cluster_mode_mean_wsize,2818,0.9950564971751412,0.25975869410929736,0.5390347764371894,0.6909155429382541,2.4999066153673755e+26,8.16838556880093e+27
cluster_median_mean_wsize,2818,0.9950564971751412,0.2576295244854507,0.5464868701206529,0.6976579134137686,2.4999066153673755e+26,8.16838556880093e+27
winsor_mean_10,2822,0.9964689265536724,0.25301204819277107,0.5510276399716513,0.7087172218284904,2.0874830591716713e+26,7.845678646352971e+27
cluster_mean_mean_wlen,2818,0.9950564971751412,0.24166075230660042,0.5305180979418027,0.6855926188786373,1.1887863733144074e+63,6.310653175863228e+64
dedup_k_mode,2822,0.9964689265536724,0.2406094968107725,0.5545712260807938,0.7097802976612332,243190.5166548547,5777213.568421629
cluster_mode_mean,2818,0.9950564971751412,0.23846699787083037,0.5188076650106459,0.6689141234918382,2.5600255666371987e+26,8.395891652548453e+27
cluster_median_mean,2818,0.9950564971751412,0.23598296664300922,0.5198722498225692,0.6717530163236338,2.5600255666371987e+26,8.395891652548453e+27
cluster_mean_mean_wsize,2818,0.9950564971751412,0.23527324343506031,0.5163236337828248,0.6760113555713272,1.1887863733144074e+63,6.310653175863228e+64
mean,2822,0.9964689265536724,0.23493975903614459,0.5148830616583983,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64
dedup_text_mean,2822,0.9964689265536724,0.23458540042523032,0.5152374202693125,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64
dedup_k_median,2822,0.9964689265536724,0.22856130403968816,0.5474840538625089,0.7090715804394047,218886.0322466336,5326845.883845902
cluster_mean_mean,2818,0.9950564971751412,0.22178850248403123,0.5042583392476934,0.663236337828247,1.1887863733144074e+63,6.310653175863228e+64
dedup_k_mean,2822,0.9964689265536724,0.18072289156626506,0.4408221119773211,0.6105598866052445,2.6380029923616032e+63,1.4013731380654533e+65
