method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
median,2822,0.9964689265536724,0.31998582565556344,0.615520907158044,0.7608079376328845,97345.89014883061,3656371.772704414,0.5489446741597926
dedup_text_median,2822,0.9964689265536724,0.3196314670446492,0.615520907158044,0.7611622962437987,97345.89369241672,3656371.7727044476,0.5488111586982377
cluster_median_mode_wsqrt,2818,0.9950564971751412,0.3222143364088006,0.6057487579843861,0.7452093683463449,97489.50035486161,3659130.741493915,0.5460310883980638
cluster_median_median_wsqrt,2818,0.9950564971751412,0.3147622427253371,0.6142654364797729,0.7604684173172462,97488.77963094393,3659130.741345807,0.545886572407507
cluster_median_mode_wsize,2818,0.9950564971751412,0.32008516678495386,0.6071682044002839,0.7462739531582683,146200.4464158978,4480587.153416299,0.5450277170484006
cluster_median_median_wsize,2818,0.9950564971751412,0.31511710432931156,0.6121362668559261,0.7540809084457062,97493.82434350603,3659130.7508710776,0.5449158369824748
mode,2822,0.9964689265536724,0.3192771084337349,0.6034727143869596,0.7377746279234585,48710.75301204819,2587207.9853602382,0.5430047361612176
dedup_text_mode,2822,0.9964689265536724,0.31856839121190644,0.6034727143869596,0.7377746279234585,48710.75053153792,2587207.985360232,0.542713374636688
cluster_mode_median_wsqrt,2818,0.9950564971751412,0.3144073811213627,0.6068133427963094,0.7491128459900639,97511.97764371894,3659996.4321225816,0.5425880358948563
cluster_mode_median_wsize,2818,0.9950564971751412,0.31369765791341375,0.5997161107168204,0.741305890702626,97517.07771469127,3659996.441645876,0.539606991033938
cluster_mode_mode_wsqrt,2818,0.9950564971751412,0.31866572036905605,0.5915542938254081,0.7299503193754435,97520.97054648687,3660325.8196699955,0.5389428434437087
cluster_median_mode,2818,0.9950564971751412,0.3129879347054649,0.5940383250532293,0.7370475514549326,97566.97515968772,3661821.323775346,0.5385165395895836
cluster_mode_mode_wsize,2818,0.9950564971751412,0.31653655074520937,0.5929737402413059,0.7317246273953159,146231.90773598297,4481563.182880968,0.5379113938999162
cluster_median_median,2818,0.9950564971751412,0.3058907026259759,0.5979418026969482,0.7459190915542938,97535.62278211498,3169503.901571534,0.5367288914141539
cluster_mode_median,2818,0.9950564971751412,0.3076650106458481,0.5958126330731015,0.7423704755145494,97551.61107168204,3170193.8447924037,0.5363990655081162
cluster_mode_mode,2818,0.9950564971751412,0.31192334989354153,0.5919091554293825,0.7299503193754435,97612.90489709013,3663015.561981768,0.5361299739972358
cluster_mean_mode,2818,0.9950564971751412,0.29240596167494676,0.5716820440028388,0.71611071682044,1.1887863733144074e+63,6.310653175863228e+64,0.5208245764792243
cluster_mean_median,2818,0.9950564971751412,0.28282469836763663,0.5809084457061746,0.7324343506032647,1.1887863733144074e+63,6.310653175863228e+64,0.5201409785408554
cluster_mean_median_wsqrt,2818,0.9950564971751412,0.2721788502484031,0.5823278921220724,0.7338537970191625,1.1887863733144074e+63,6.310653175863228e+64,0.5149025274506497
cluster_mean_mode_wsqrt,2818,0.9950564971751412,0.276792051100071,0.5706174591909156,0.71291696238467,1.1887863733144074e+63,6.310653175863228e+64,0.511847812253789
cluster_mean_median_wsize,2818,0.9950564971751412,0.2636621717530163,0.5734563520227112,0.7157558552164656,1.1887863733144074e+63,6.310653175863228e+64,0.5063933601871321
trimmed_mean_10,2822,0.9964689265536724,0.26222537207654145,0.5637845499645642,0.7200566973777462,1.3394595149295612e+26,5.074466559023324e+27,0.5037599860929524
cluster_mean_mode_wsize,2818,0.9950564971751412,0.2650816181689141,0.5628105039034776,0.705819730305181,1.1887863733144074e+63,6.310653175863228e+64,0.5034732044888425
winsor_mean_10,2822,0.9964689265536724,0.25301204819277107,0.5510276399716513,0.7087172218284904,2.0874830591716713e+26,7.845678646352971e+27,0.49497883773578244
cluster_median_mean_wsize,2818,0.9950564971751412,0.2576295244854507,0.5464868701206529,0.6976579134137686,2.4999066153673755e+26,8.16838556880093e+27,0.4928029818061789
dedup_k_mode,2822,0.9964689265536724,0.2406094968107725,0.5545712260807938,0.7097802976612332,243190.5166548547,5777213.568421629,0.4917781915475235
cluster_mode_mean_wsize,2818,0.9950564971751412,0.25975869410929736,0.5390347764371894,0.6909155429382541,2.4999066153673755e+26,8.16838556880093e+27,0.4909803066492743
dedup_k_median,2822,0.9964689265536724,0.22856130403968816,0.5474840538625089,0.7090715804394047,218886.0322466336,5326845.883845902,0.48411686430371725
cluster_mode_mean_wsqrt,2818,0.9950564971751412,0.24698367636621718,0.5333569907735983,0.6809794180269695,2.534344255097694e+26,8.297968210514236e+27,0.4817263069917586
cluster_median_mean_wsqrt,2818,0.9950564971751412,0.24378992193044713,0.5369056068133428,0.6820440028388929,2.534344255097694e+26,8.297968210514236e+27,0.48165176617853156
cluster_mode_mean,2818,0.9950564971751412,0.23846699787083037,0.5188076650106459,0.6689141234918382,2.5600255666371987e+26,8.395891652548453e+27,0.4729471146739663
cluster_median_mean,2818,0.9950564971751412,0.23598296664300922,0.5198722498225692,0.6717530163236338,2.5600255666371987e+26,8.395891652548453e+27,0.47268540149024074
cluster_mean_mean_wsize,2818,0.9950564971751412,0.23527324343506031,0.5163236337828248,0.6760113555713272,1.1887863733144074e+63,6.310653175863228e+64,0.4722312044949202
mean,2822,0.9964689265536724,0.23493975903614459,0.5148830616583983,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64,0.47176234987338167
dedup_text_mean,2822,0.9964689265536724,0.23458540042523032,0.5152374202693125,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64,0.471646092793978
cluster_mean_mean_wsqrt,2818,0.9950564971751412,0.22320794889992904,0.5134847409510291,0.669623846699787,1.1887863733144074e+63,6.310653175863228e+64,0.4643301393690599
cluster_mean_mean,2818,0.9950564971751412,0.22178850248403123,0.5042583392476934,0.663236337828247,1.1887863733144074e+63,6.310653175863228e+64,0.46055512874817967
dedup_k_mean,2822,0.9964689265536724,0.18072289156626506,0.4408221119773211,0.6105598866052445,2.6380029923616032e+63,1.4013731380654533e+65,0.4198996344393874
